AS,001,uAir Force ROTC Physical Training, uJohn David Anthony  Gasa, u6:30 am,7:30 am, uM
CHM,007,, uGeneral Chemistry I Workshop, uElizabeth Ruth  Morton, u4:10 pm,5:35 pm, uT
CHM,007,, uGeneral Chemistry I Workshop, uElizabeth Ruth  Morton, u4:10 pm,5:35 pm, uW
CHM,007,, uGeneral Chemistry I Workshop, uRachel   Hutcheson, u4:10 pm,5:35 pm, uM
CHM,007,, uGeneral Chemistry I Workshop, uRachel   Hutcheson, u7:10 pm,8:35 pm, uM
CHM,007,, uGeneral Chemistry I Workshop, uRachel   Hutcheson, u5:40 pm,7:05 pm, uT
CHM,007,, uGeneral Chemistry I Workshop, uRachel   Hutcheson, u7:10 pm,8:35 pm, uT
CHM,007,, uGeneral Chemistry I Workshop, uEdward J  Valente, u5:40 pm,7:05 pm, uM
CHM,007,, uGeneral Chemistry I Workshop, uEdward J  Valente, u7:10 pm,8:35 pm, uM
CHM,007,, uGeneral Chemistry I Workshop, uEdward J  Valente, u4:10 pm,5:35 pm, uT
CHM,007,, uGeneral Chemistry I Workshop, uEdward J  Valente, u7:10 pm,8:35 pm, uT
CHM,008,, uGeneral Chemistry II Workshop, uKevin   Cantrell, u5:40 pm,7:05 pm, uW
CHM,008,, uGeneral Chemistry II Workshop, uKevin   Cantrell, u7:10 pm,8:35 pm, uW
CHM,008,, uGeneral Chemistry II Workshop, uKevin   Cantrell, u4:10 pm,5:35 pm, uT
CHM,008,, uGeneral Chemistry II Workshop, uKevin   Cantrell, u4:10 pm,5:35 pm, uW
CHM,008,, uGeneral Chemistry II Workshop, uElizabeth Ruth  Morton, u5:40 pm,7:05 pm, uW
CHM,008,, uGeneral Chemistry II Workshop, uElizabeth Ruth  Morton, u7:10 pm,8:35 pm, uW
CHM,008,, uGeneral Chemistry II Workshop, uElizabeth Ruth  Morton, u5:40 pm,7:05 pm, uT
CHM,008,, uGeneral Chemistry II Workshop, uElizabeth Ruth  Morton, u4:10 pm,5:35 pm, uW
CHM,008,, uGeneral Chemistry II Workshop, uSylvia M.  Daoud Kinzie, u5:40 pm,7:05 pm, uM
CHM,008,, uGeneral Chemistry II Workshop, uSylvia M.  Daoud Kinzie, u7:10 pm,8:35 pm, uM
CHM,008,, uGeneral Chemistry II Workshop, uSylvia M.  Daoud Kinzie, u4:10 pm,5:35 pm, uT
CHM,008,, uGeneral Chemistry II Workshop, uSylvia M.  Daoud Kinzie, u7:10 pm,8:35 pm, uT
CHM,008,, uGeneral Chemistry II Workshop, uSylvia M.  Daoud Kinzie, u5:40 pm,7:05 pm, uM
